Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","470nF","C_1206_3216Metric",188.500000,-95.750000,0.000000,top
"J2","DM3AT-SF-PEJM5","DM3ATSFPEJM5",186.750000,-84.750000,180.000000,top
"LED1","LTST-S327KGKFKT","LTSTS327KGKFKT",175.050000,-77.500000,90.000000,top
"Q1","DTC114T","SOT-7_23Combo",172.500000,-89.500000,-90.000000,top
"Q2","DTC114T","SOT-7_23Combo",172.500000,-96.250000,-90.000000,top
"R2","1K","R_1206_3216Metric",174.250000,-81.750000,90.000000,top
"R3","1K","R_1206_3216Metric",176.750000,-81.750000,90.000000,top
